Lambaste,attack verbally
precursors,a person or thing that precedes, as in a process or job."
predominate,have more power than others
premature,doing or happening something before the right time
presentiment,anticipatory fear; premonition
recitals,a number of performance of music
reconcile,settle a quarrel restore peace
recuperate,become strong after illness loss exhaustion
redeem,get back by payment compensate
refine,make or become pure cultural
reiterate,say or do again several times
rejuvenation,becoming young in nature or appearance
relapse,fall back again
reminiscent,suggest something in the past
renovate,restore something to better condition
renowned,celebrated; famous
repel,refuse to accept/cause dislike
repulsive,causing a feeling of disgust
resuscitation,coming back to consciousness
retrograde,receding
retrospective,Looking back on past
riddle,puzzling person or thing
sadistic,Cruel
salvage,the saving of property from loss
sanction,approval (by authority) penalty
sanity,health of mind soundness of judgment
satiate,satisfy fully
sawdust,tiny bits of wood
scent,smell (especially pleasant)
scribble,write hastily
sequence,succession connected line of
shallow,little depth; not earnest
shard,A piece of broken pottery
sheath,cover for the blade of a weapon or a tool
shunned,avoided, kept away from"
skit,short piece of humorous writing
sluggard,lazy slow-moving person
sobriety,quality or condition of being sober
solvent,of the power of forming a solution
somersault,rolling backward or forward (not sideways) movement
sophisticated,complex; subtle; refined
spear,weapon with a metal point on a long shaft
sponge,porous rubber for washing live at once expense
sporadic,happening from time to time
steeply,rising or falling sharply
stray,wander lose one's way
stride,walk with long steps
strive,to make great efforts, to struggle"
submerge,put under water liquid sink out of sight
succumb,yield, die"
suffice,be enough
suffocate,cause or have difficulty in breathing
superimpose,put something on the top
surcharge,additional load/charge
tadpole,form of a frog when it leaves the egg
timid,shy easily frightened
tonic,something giving strength or energy
torque,twisting force causing rotation
tractable,easily controlled or guided
treacherous,not to be trusted, perfidious"
turbulence,being uncontrollably violent
turmoil,trouble disturbance
unscathed,unharmed unhurt
vigorous,strong energetic
vivacious,lively high-spirited
volatile,changeable inconstant fickle unstable explosive
warrant,authority written order guarantee
weigh,measure how heavy something is
woo,try to win
writ,written order
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
yarn,tale story fibers for knitting
yeoman,man owning small estate; middle-class farmer
